post_id,post,in_crisis,explanation
50,"just sitting here realizing that right now, in this exact moment, life is pretty good. got a roof over my head, some good food in the fridge, and my health. feeling really grateful today.",FALSE,"User expressing positive sentiment, safe."
51,"finally fixed the leaky faucet in the bathroom by myself! watched like three youtube tutorials and took a trip to the hardware store but i actually did it. feeling very handy today.",FALSE,"User expressing positive sentiment, safe."
52,"tried some new coffee beans from a local roaster this morning and wow. it has these crazy blueberry notes and it's so smooth. definitely going back to buy a bigger bag.",FALSE,"User expressing positive sentiment, safe."
53,"just found my favorite pair of sunglasses that have been missing since last october! they were wedged deep down inside the lining of my winter coat. absolutely thrilled right now.",FALSE,"User expressing positive sentiment, safe."
54,"hit a new personal record at the gym today on my deadlift. i've been stuck at the same weight for months so breaking past that plateau feels incredible. celebrating with a massive protein shake.",FALSE,"User expressing positive sentiment, safe."
55,"sitting on the balcony watching the sunset and the sky is just insane tonight. bright pinks and purples everywhere. taking a moment just to breathe and take it all in.",FALSE,"User expressing positive sentiment, safe."
56,"my favorite band dropped a new album at midnight and ive just been laying in bed listening to the whole thing with my good headphones. no skips at all, it's a masterpiece.",FALSE,"User expressing positive sentiment, safe."
57,"a random stranger stopped me on the street just to tell me they loved my jacket. honestly such a small thing but it completely made my day and i've been smiling ever since.",FALSE,"User expressing positive sentiment, safe."
58,"just got a fresh haircut after letting it grow out way too long. my head feels ten pounds lighter and the barber actually listened to exactly what i wanted. feeling super confident.",FALSE,"User expressing positive sentiment, safe."
59,"finally put the last piece into this 1000 piece jigsaw puzzle ive been doing for two weeks. it was a picture of a starry night sky and it was so hard. feeling like a genius right now.",FALSE,"User expressing positive sentiment, safe."
60,"just booked flights for a long weekend trip with my best friends! we haven't taken a trip together in years. already making a shared document for all the places we want to eat.",FALSE,"User expressing positive sentiment, safe."
61,"tried that new korean bbq place downtown and it lived up to the hype. the marinated short rib was melting in my mouth. definitely going to be dreaming about that meal.",FALSE,"User expressing positive sentiment, safe."
62,"went thrift shopping and found an absolutely perfect vintage denim jacket for only ten dollars. it fits exactly right and looks like it was made for me. best find of the year hands down.",FALSE,"User expressing positive sentiment, safe."
63,"got a laser pointer for the cat and she has been doing parkour off the living room walls for twenty minutes. i am laughing so hard im crying. the pure joy of simple toys.",FALSE,"User expressing positive sentiment, safe."
64,"did three loads of laundry, folded everything, AND actually put it all away in the drawers. usually it sits in a basket for a week. feeling like a highly functional adult today.",FALSE,"User expressing positive sentiment, safe."
65,"took a different route on my walk today and discovered a beautiful little hidden park with a duck pond. sitting on a bench just feeding the ducks some frozen peas. peaceful vibes.",FALSE,"User expressing positive sentiment, safe."
66,"managed to make the absolute perfect glass of iced coffee at home. exact right ratio of espresso to milk to ice. tasting it actually made me do a little happy dance in the kitchen.",FALSE,"User expressing positive sentiment, safe."
67,"slept in until 10am on a saturday for the first time in months. no alarm, no rushing, just slowly waking up with the sun. best start to a weekend.",FALSE,"User expressing positive sentiment, safe."
68,"finished knitting a scarf that ive been working on intermittently since last winter. it's super chunky and warm, just in time for the cold weather. really proud of the neat edges.",FALSE,"User expressing positive sentiment, safe."
69,"saw a full double rainbow on my drive home from work today after a massive rainstorm. pulled over just to look at it for a few minutes. nature is pretty cool sometimes.",FALSE,"User expressing positive sentiment, safe."
70,"my shy rescue dog finally made a friend at the dog park today! they chased each other around for half an hour and he was wagging his tail the whole time. almost made me tear up.",FALSE,"User expressing positive sentiment, safe."
71,"had a sudden burst of inspiration and spent the last two hours writing a short story. i haven't written creatively in years but the words were just flowing. feels so good to flex that muscle again.",FALSE,"User expressing positive sentiment, safe."
72,"baked a fresh batch of chocolate chip cookies and my entire apartment smells like a bakery. eating them while they are still warm and gooey with a glass of cold milk. pure bliss.",FALSE,"User expressing positive sentiment, safe."
73,"grocery store had a massive sale on my favorite fancy cheese so i bought three blocks. doing a charcuterie board for dinner tonight because why not. treating myself on a tuesday.",FALSE,"User expressing positive sentiment, safe."
74,"spent the evening building a lego set while listening to an audiobook. there is something so satisfying about following the instructions and snapping the little pieces together. great way to unwind.",FALSE,"User expressing positive sentiment, safe."
75,"planted a bunch of herb seeds in little pots on my windowsill. basil, cilantro, and mint. cant wait for them to sprout so i can use them for cooking.",FALSE,"User expressing positive sentiment, safe."
76,"found a box of old home videos in the attic and managed to hook up the old vcr. watched my 5th birthday party and saw all my relatives looking so young. really sweet trip down memory lane.",FALSE,"User expressing positive sentiment, safe."
77,"went for a run and finally hit the 5k mark without having to stop and walk! my lungs are burning but the runner's high is very real right now. super proud of my consistency.",FALSE,"User expressing positive sentiment, safe."
78,"learned a really cool new word today: petrichor. the smell of dust after rain. exactly what it smells like outside right now and i love that there is a specific word for it.",FALSE,"User expressing positive sentiment, safe."
79,"helped my elderly neighbor carry her groceries up the stairs today. she was so sweet and gave me a fresh lemon from her tree as a thank you. just nice to connect with people.",FALSE,"User expressing positive sentiment, safe."
80,"eating a peach that is so perfectly ripe and juicy that i have to stand over the sink. summer fruit is literally the best thing in the world. sticky fingers but totally worth it.",FALSE,"User expressing positive sentiment, safe."
81,"color-coded my entire bookshelf this afternoon. it took way longer than i thought it would but it looks so aesthetically pleasing now. my living room looks like a cool indie bookstore.",FALSE,"User expressing positive sentiment, safe."
82,"finally took my car to get fully detailed inside and out. it smells like new leather and there isn't a single crumb in the cupholders. going to drive around with the windows down just to show off.",FALSE,"User expressing positive sentiment, safe."
83,"listened to a history podcast on my commute today and learned so much about ancient rome. actually made the traffic bearable. love finding new stuff that just captures my attention completely.",FALSE,"User expressing positive sentiment, safe."
84,"made a perfectly curated spotify playlist for my upcoming road trip. tested it out on the drive to the store and every transition is flawless. the vibes are going to be immaculate.",FALSE,"User expressing positive sentiment, safe."
85,"nailed my presentation at work this morning. i was so nervous i was shaking beforehand, but i answered all the questions perfectly and my manager gave me a high five. massive weight off my shoulders.",FALSE,"User expressing positive sentiment, safe."
86,"drew a sketch of my cat sleeping and it actually looks like her! usually my drawings look like potatoes but i think im finally getting the hang of shading. pinning it to my fridge like a proud kid.",FALSE,"User expressing positive sentiment, safe."
87,"started feeding the crows in my backyard unsalted peanuts and today one of them brought me a shiny bottle cap! i have officially made friends with the local corvids. goal unlocked.",FALSE,"User expressing positive sentiment, safe."
88,"put my hand in the pocket of a jacket i haven't worn since last year and found a crisp twenty dollar bill. past me really came through with the unexpected gift. free lunch today!",FALSE,"User expressing positive sentiment, safe."
89,"ordered some new books online and they arrived two days early! the covers are gorgeous and they smell like fresh paper. canceling all my plans tonight to just curl up and read.",FALSE,"User expressing positive sentiment, safe."
90,"tried a new blend of chamomile and lavender tea before bed. it's so incredibly soothing and warming. feeling my eyelids getting heavy already, going to sleep so well tonight.",FALSE,"User expressing positive sentiment, safe."
91,"woke up feeling completely rested, looked at the clock, and realized i still had two hours before my alarm goes off. going back to sleep knowing i have extra time is the ultimate luxury.",FALSE,"User expressing positive sentiment, safe."
92,"bought a huge bouquet of sunflowers at the market just because they looked cheerful. put them in a vase on my kitchen island and they brighten up the entire room. highly recommend buying yourself flowers.",FALSE,"User expressing positive sentiment, safe."
93,"put on my absolute favorite comfort movie, princess bride, and making some stovetop popcorn. i can quote almost every line but it just never gets old. perfectly cozy evening.",FALSE,"User expressing positive sentiment, safe."
94,"friend sent me a meme that was so specifically relatable to my life that i choke-laughed my coffee onto my desk. sent it to my sibling and they had the exact same reaction.",FALSE,"User expressing positive sentiment, safe."
95,"decided to make pancakes, bacon, and eggs for dinner. breakfast for dinner is a top tier meal and nobody can convince me otherwise. pouring maple syrup over everything as we speak.",FALSE,"User expressing positive sentiment, safe."
96,"organized my pantry and put all my dry goods into clear matching containers with little labels. it scratches an itch in my brain i didn't even know i had. standing here just admiring it.",FALSE,"User expressing positive sentiment, safe."
97,"went out to the countryside away from the city lights to go stargazing. the sky is so clear tonight you can actually see the milky way. feeling very small but very peaceful.",FALSE,"User expressing positive sentiment, safe."
98,"got a random text from an old coworker checking in to see how i was doing. we ended up chatting for an hour catching up. really nice to know people are thinking about you.",FALSE,"User expressing positive sentiment, safe."
99,"finally bought the nice pair of walking shoes i've been eyeing for months. took them on a test walk and it feels like im walking on clouds. my feet are going to be so happy.",FALSE,"User expressing positive sentiment, safe."
100,"sitting by the fire pit in the backyard roasting marshmallows. the weather is perfectly crisp and the fire is so warm. just a really solid, quiet end to a good week.",FALSE,"User expressing positive sentiment, safe."
101,"baked a blueberry pie from scratch today! the kitchen smells absolutely heavenly right now. i was worried the crust would be soggy but it turned out perfectly flaky. so excited to cut into this after dinner.",FALSE,"User expressing positive sentiment, safe."
102,"just got my new workout clothes in the mail and they fit so well. the color is this super vibrant teal. it honestly makes me want to go to the gym right now just to show them off.",FALSE,"User expressing positive sentiment, safe."
103,"my cat has been asleep on my lap for over an hour. my leg is completely numb and i really need to go to the bathroom, but it's illegal to move a sleeping cat. im trapped but so happy.",FALSE,"User expressing positive sentiment, safe."
104,"finally figured out how to purl stitch in knitting! i watched like five different tutorials but it finally clicked in my brain today. working on a chunky beanie for winter and it's actually looking like a hat now.",FALSE,"User expressing positive sentiment, safe."
105,"walked along the beach today and found the coolest piece of sea glass. it's perfectly smooth and a deep cobalt blue color. definitely adding it to my little collection on the windowsill.",FALSE,"User expressing positive sentiment, safe."
106,"made the absolute ultimate grilled cheese for lunch. used three different types of cheese and got the bread toasted to the exact right level of golden brown. dipping it in tomato soup makes it an 11/10 meal.",FALSE,"User expressing positive sentiment, safe."
107,"bought a new candle that smells like pine needles and campfire smoke. lighting it makes my tiny apartment feel like a cozy cabin in the woods. honestly such a mood booster on a cloudy day.",FALSE,"User expressing positive sentiment, safe."
108,"went to a retro arcade downtown and spent like twenty bucks in quarters playing ms. pacman and skeeball. i am terrible at all of them but it was so much fun just goofing around like a kid again.",FALSE,"User expressing positive sentiment, safe."
109,"the guy at the local bakery threw in a free chocolate croissant with my morning coffee order just because. such a small random act of kindness but it put a massive smile on my face for the rest of the day.",FALSE,"User expressing positive sentiment, safe."
110,"watched a nature documentary about emperor penguins tonight. they are so goofy and cute when they waddle around. just a super relaxing, wholesome thing to watch before going to sleep.",FALSE,"User expressing positive sentiment, safe."
111,"just bought a loaf of fresh sourdough straight from the oven. it's still warm and the crust crackles when you squeeze it. eating a thick slice with salted butter right now and transcending into another dimension.",FALSE,"User expressing positive sentiment, safe."
112,"spent an hour deep scrubbing the bathroom and now everything is literally sparkling. the shower glass is totally clear and it smells like bleach and lavender. so satisfying to see the before and after.",FALSE,"User expressing positive sentiment, safe."
113,"finally hung up those fairy lights around my bedroom window. turned off the overhead lights and it makes the room look so magical and cozy. perfect vibe for reading in bed tonight.",FALSE,"User expressing positive sentiment, safe."
114,"after being stuck on the same candy crush level for three entire weeks, the stars finally aligned and i beat it. i threw my hands in the air like i just won the olympics. pure relief.",FALSE,"User expressing positive sentiment, safe."
115,"listening to the rain absolutely pouring down against my window right now. i don't have to go anywhere today so im just sitting on the couch wrapped in a fleece blanket. immaculate vibes.",FALSE,"User expressing positive sentiment, safe."
116,"tried out a new local ice cream shop and got their mint chocolate chip. it's the really good kind that is actually white, not dyed green, and has huge chunks of dark chocolate. totally my new favorite spot.",FALSE,"User expressing positive sentiment, safe."
117,"was digging through my childhood boxes and found my old gameboy advance! popped some new batteries in and it still turns on perfectly. currently playing pokemon emerald and feeling intensely nostalgic.",FALSE,"User expressing positive sentiment, safe."
118,"spent the evening painting my nails this really pretty sparkly lavender color. im usually terrible at it but i somehow managed not to get any on my cuticles this time. looking down at my hands and feeling fancy.",FALSE,"User expressing positive sentiment, safe."
119,"found the cutest oversized mug at the thrift store today for fifty cents. it has a little painted duck on it. washing it right now so i can use it for my tea tonight.",FALSE,"User expressing positive sentiment, safe."
120,"successfully parallel parked on a busy street on the very first try today. no reversing back and forth, just swooped right in perfectly. felt like an absolute driving legend.",FALSE,"User expressing positive sentiment, safe."
121,"threw a bunch of random fruit into the blender this morning and accidentally created the best smoothie of my life. mango, banana, and a little bit of ginger. trying to memorize the exact ratios for tomorrow.",FALSE,"User expressing positive sentiment, safe."
122,"saw a tiny dachshund walking down the street wearing a bright yellow raincoat and little boots. i had to stop and physically clutch my chest because it was too cute. made my whole morning commute better.",FALSE,"User expressing positive sentiment, safe."
123,"my bike chain has been squeaking for a week, so i finally watched a youtube tutorial on how to clean and lube it. did it myself in twenty minutes and my ride today was completely silent. feeling very proud.",FALSE,"User expressing positive sentiment, safe."
124,"nothing beats the feeling of sliding into a bed with freshly washed sheets right after taking a hot shower. my legs are so smooth and the bed smells like clean cotton. instant relaxation.",FALSE,"User expressing positive sentiment, safe."
125,"having a freakishly good hair day today for absolutely no reason. my curls are sitting perfectly and have zero frizz. i have no plans but i might go to the grocery store just so someone sees it.",FALSE,"User expressing positive sentiment, safe."
126,"started listening to a comedy podcast my friend recommended and i looked like an idiot laughing out loud by myself on the train today. highly recommend finding something funny to listen to on your commute.",FALSE,"User expressing positive sentiment, safe."
127,"made homemade pizza dough from scratch for the first time. letting it rise right now and it's getting huge! so excited to stretch it out and make margherita pizzas tonight.",FALSE,"User expressing positive sentiment, safe."
128,"was drinking my coffee on the balcony this morning and a monarch butterfly landed right on the railing next to me. it stayed there for a good five minutes just opening and closing its wings. such a beautiful little moment.",FALSE,"User expressing positive sentiment, safe."
129,"just chugged a massive glass of ice water after walking three miles in the heat. why does cold water hit so incredibly hard when you're actually thirsty? best drink on the planet.",FALSE,"User expressing positive sentiment, safe."
130,"bought a super fluffy shag rug for the living room and it just got delivered. unrolled it and instantly laid down on the floor to make carpet angels. my toes are so happy.",FALSE,"User expressing positive sentiment, safe."
131,"tried an iced matcha latte for the first time today. always thought it would taste like grass but it's actually really creamy and slightly sweet. definitely going to be adding this into my coffee shop rotation.",FALSE,"User expressing positive sentiment, safe."
132,"sat down and wrote a long physical letter to my grandmother. no text, just pen and paper. told her about my week and drew some little doodles on the margins. i know she's going to love getting it in the mail.",FALSE,"User expressing positive sentiment, safe."
133,"the barista at the cafe complimented my vintage boots today. it caught me off guard but made me feel so incredibly cool. gonna be riding that high for the rest of the week tbh.",FALSE,"User expressing positive sentiment, safe."
134,"woke up super early today for some reason, so i just made a cup of coffee and watched the sunrise from my window. the sky turned this amazing shade of orange. really peaceful way to start a tuesday.",FALSE,"User expressing positive sentiment, safe."
135,"spent the afternoon being ruthless with my closet. bagged up two huge trash bags of clothes i never wear to drop off at the donation center tomorrow. my closet actually has space in it now and it feels amazing.",FALSE,"User expressing positive sentiment, safe."
136,"finally figured out the perfect coarse grind for my cold brew pitcher. strained it this morning and it's incredibly smooth, zero bitterness. keeping a massive jug in the fridge to save money on cafes.",FALSE,"User expressing positive sentiment, safe."
137,"managed to guess the wordle in only two tries today! my starter word finally paid off. obviously immediately sent my score to the group chat to flex on my friends.",FALSE,"User expressing positive sentiment, safe."
138,"my puppy finally mastered the shake paw trick today! we've been working on it with treats for days and he just handed me his little paw unprompted. hes getting so smart.",FALSE,"User expressing positive sentiment, safe."
139,"picked up a tiny little succulent plant for my work desk today. it's in a cute geometric pot and just adds a nice little pop of green to my workspace. hopefully i don't overwater this one.",FALSE,"User expressing positive sentiment, safe."
140,"just saw the announcement that my favorite sci-fi show is officially getting renewed for a third season! i was so worried it was going to get canceled. doing a little happy dance in my living room.",FALSE,"User expressing positive sentiment, safe."
141,"made the ultimate avocado toast this morning. thick sourdough, perfectly ripe avocado, everything bagel seasoning, and a drizzle of hot honey. tasted like something you'd pay fifteen bucks for at a brunch spot.",FALSE,"User expressing positive sentiment, safe."
142,"went to a roller rink last night for a friend's birthday. haven't skated since i was like ten years old. fell down twice but laughed so hard my ribs hurt. definitely feeling it in my legs today but so worth it.",FALSE,"User expressing positive sentiment, safe."
143,"went out to my tiny garden box and picked my very first ripe cherry tomatoes of the season! they are so red and sweet. eating them like candy straight off the vine.",FALSE,"User expressing positive sentiment, safe."
144,"finally got around to washing and vacuuming my car. it was embarrassingly dirty but now the dashboard is shiny and there's no gravel on the floor mats. feels like im driving a brand new car.",FALSE,"User expressing positive sentiment, safe."
145,"the cashier at the grocery store randomly applied a coupon to my order today and saved me like twelve dollars. people can be so nice for absolutely no reason. paying it forward next time i get a chance.",FALSE,"User expressing positive sentiment, safe."
146,"took a two hour nap on the couch this afternoon with the window open and a gentle breeze coming in. woke up a little disoriented but feeling so refreshed. sunday afternoon naps are top tier.",FALSE,"User expressing positive sentiment, safe."
147,"put on a playlist of hits from the early 2000s while making dinner and i ended up just singing into a wooden spoon for half an hour. totally forgot how much i loved some of these songs.",FALSE,"User expressing positive sentiment, safe."
148,"reached blindly into the chaotic tupperware drawer and pulled out a container and a lid that actually matched perfectly on the very first try. buying a lottery ticket today because my luck is clearly off the charts.",FALSE,"User expressing positive sentiment, safe."
149,"noticed the bananas on my counter were getting super brown and spotty, so i finally got off my butt and baked banana bread. threw some walnuts in there too. my house smells amazing right now.",FALSE,"User expressing positive sentiment, safe."
150,"saw a fat little squirrel sitting on a fence post eating an entire discarded french fry like a harmonica. i stood there and watched him for a solid three minutes. nature is truly beautiful.",FALSE,"User expressing positive sentiment, safe."
151,"just got a new ergonomic desk chair and assembled it myself. my lower back is finally not screaming at me after sitting for hours. honestly the best purchase i've made all year, so worth the money.",FALSE,"User expressing positive sentiment, safe."
152,"making some fresh homemade salsa tonight for taco tuesday. chopped up all the jalapeños, onions, and cilantro right from my little patio garden. the kitchen smells amazing and im ready to eat my weight in tortilla chips.",FALSE,"User expressing positive sentiment, safe."
153,"my favorite indie survival game just released a massive free content update out of nowhere. they added a whole new biome and tons of crafting recipes. well, say goodbye to my weekend plans because i am locking in.",FALSE,"User expressing positive sentiment, safe."
154,"tried a completely new eyeliner technique this morning that i saw on tiktok and my wings are actually perfectly even for once. feeling absolutely fierce today, might take some selfies later just to document this miracle.",FALSE,"User expressing positive sentiment, safe."
155,"hit a new personal best on my run this morning! managed to do a full 5 miles without stopping to walk once. my legs feel like jello right now but i am so incredibly proud of my progress over the last few months.",FALSE,"User expressing positive sentiment, safe."
156,"finally learned how to play the entirety of my favorite song on the keyboard. my hands were shaking by the end of it but i hit every single chord perfectly. such a good feeling to see the practice pay off.",FALSE,"User expressing positive sentiment, safe."
157,"bought a giant watermelon from the farm stand down the road and cracked it open today. it's perfectly crisp, super juicy, and incredibly sweet. honestly sitting outside eating cold watermelon is the absolute best part of summer.",FALSE,"User expressing positive sentiment, safe."
158,"my fluffy orange cat is currently snoring softly directly on my chest. i literally cannot move my arms and i have a ton of chores to do, but i don't even care. this is my life now.",FALSE,"User expressing positive sentiment, safe."
159,"went to the local library today and checked out like six new sci-fi books. it's raining outside so my plan is to bury myself under a pile of fleece blankets on the couch and just read all night long.",FALSE,"User expressing positive sentiment, safe."
160,"my partner completely surprised me with my favorite thai takeout when i got home from a really long, exhausting shift. they even got the extra crispy spring rolls. feeling very loved and appreciated right now.",FALSE,"User expressing positive sentiment, safe."
161,"finally found my missing left airpod! it apparently fell down deep behind the couch cushions like two weeks ago and i thought it was gone forever. so relieved i don't have to spend a hundred bucks to replace it.",FALSE,"User expressing positive sentiment, safe."
162,"just got out of honestly the best shower of my life. the water pressure was perfect, used a really nice smelling eucalyptus soap, and i had a fresh warm towel waiting. feeling so clean and relaxed before bed.",FALSE,"User expressing positive sentiment, safe."
